x,y,z,k
-2.777,-47.150,11.280,621.7282
-2.777,-47.150,11.944,622.0731
-2.777,-47.150,12.608,622.4184
-2.777,-47.150,13.272,622.6868
-2.777,-47.150,13.936,622.9414
-2.777,-47.150,14.600,623.2034
-2.777,-47.150,15.265,623.4473
-2.777,-47.150,15.929,623.6603
-2.777,-47.150,16.593,623.8560
-2.777,-47.150,17.257,624.0459
-2.777,-47.150,17.921,624.1891
-2.777,-47.150,18.585,624.3020
-2.777,-47.150,19.249,624.4170
-2.777,-47.150,19.913,624.4715
-2.777,-47.150,20.577,624.4961
-2.777,-47.150,21.242,624.5066
-2.777,-47.150,21.906,624.4826
-2.777,-47.150,22.570,624.4353
-2.777,-47.150,23.234,624.3164
-2.777,-47.150,23.898,624.1708
-2.777,-47.150,24.562,624.0208
-2.777,-47.150,25.226,623.8328
-2.777,-47.150,25.890,623.6322
-2.777,-47.150,26.554,623.3761
-2.777,-47.150,27.219,623.0808
-2.777,-47.150,27.883,622.8380
-2.777,-47.150,28.547,622.5786
-2.777,-47.150,29.211,622.2778
-2.777,-47.150,29.875,621.9576
-2.777,-47.150,30.539,621.5581
-2.777,-47.150,31.203,621.1528
-2.777,-47.150,31.867,620.7888
-2.777,-47.150,32.531,620.4661
-2.777,-47.150,33.196,620.0819
-2.777,-47.150,33.860,619.7333
